"","County","Reporting_Date","Total","UNA","DEM","REP","Total_Third_Party","GRE","LIB","RFP","CON","NAT","CNV","SSP"
"196","Union",2020-08-01,359672,122884,176730,55222,4836,595,959,140,1161,482,986,513
"197","Warren",2020-08-01,81863,27721,21116,32004,1022,152,303,19,206,77,195,70
"198","Grand Total",2020-08-01,6212616,2299474,2443640,1390854,78648,11384,17387,1972,17156,7003,16168,7578
"199","Atlantic",2020-09-01,196923,69994,71339,52720,2870,439,582,91,662,251,531,314
"200","Bergen",2020-09-01,653918,249834,254534,142721,6829,1100,1628,164,1460,570,1350,557
"201","Burlington",2020-09-01,334453,111696,133445,85520,3792,568,971,71,747,338,731,366
"202","Camden",2020-09-01,377729,132735,181289,58514,5191,746,1045,129,1152,487,1099,533
"203","Cape May",2020-09-01,73478,23744,18413,30515,806,109,201,7,182,55,171,81
"204","Cumberland",2020-09-01,92242,36599,33185,20562,1896,186,323,56,540,217,339,235
"205","Essex",2020-09-01,548316,202712,285539,54838,5227,701,903,181,1332,527,1020,563
"206","Gloucester",2020-09-01,221820,77661,88299,53130,2730,408,695,75,503,191,608,250
"207","Hudson",2020-09-01,395059,126160,222532,40051,6316,866,1278,213,1457,536,1312,654
"208","Hunterdon",2020-09-01,102762,33507,27912,40507,836,140,291,7,133,53,154,58
"209","Mercer",2020-09-01,249363,96190,111048,38334,3791,544,717,62,847,365,826,430
"210","Middlesex",2020-09-01,553093,216594,240851,88006,7642,1057,1545,214,1861,684,1495,786
"211","Monmouth",2020-09-01,474226,194516,138692,135193,5825,928,1415,130,1182,543,1160,467
"212","Morris",2020-09-01,377733,132380,109908,131667,3778,627,1072,71,740,287,695,286
"213","Ocean",2020-09-01,426371,168391,97982,154339,5659,858,1289,128,1252,487,1118,527
"214","Passaic",2020-09-01,318339,118703,129349,65052,5235,647,998,150,1007,512,1376,545
"215","Salem",2020-09-01,48322,19131,15280,13163,748,87,173,7,90,53,249,89
"216","Somerset",2020-09-01,248302,94269,87523,63972,2538,388,742,46,512,181,457,212
"217","Sussex",2020-09-01,111032,37088,25308,46920,1716,293,476,29,295,149,354,120
"218","Union",2020-09-01,360061,123416,176584,55215,4846,598,961,141,1172,477,990,507
"219","Warren",2020-09-01,82343,28040,21188,32085,1030,155,308,18,208,77,196,68
"220","Grand Total",2020-09-01,6245885,2293360,2470200,1403024,79301,11445,17613,1990,17334,7040,16231,7648
"221","Atlantic",2020-10-01,199742,71666,71794,53420,2862,433,607,96,633,248,524,321
"222","Bergen",2020-10-01,668663,260407,257085,144480,6691,1077,1641,164,1407,535,1329,538
"223","Burlington",2020-10-01,337457,113402,134050,86172,3833,578,990,72,745,329,749,370
"224","Camden",2020-10-01,388269,138297,184459,60293,5220,747,1097,129,1143,469,1099,536
"225","Cape May",2020-10-01,75228,24454,18709,31215,850,109,213,11,193,62,178,84
"226","Cumberland",2020-10-01,93613,37379,33281,20971,1982,197,340,59,557,234,355,240
"227","Essex",2020-10-01,562798,209919,291728,55905,5246,702,943,179,1306,523,1011,582
"228","Gloucester",2020-10-01,227536,80909,89229,54627,2771,419,741,77,492,186,603,253
"229","Hudson",2020-10-01,403500,131505,224688,40969,6338,869,1332,209,1444,526,1297,661
"230","Hunterdon",2020-10-01,104620,34636,28288,40837,859,141,310,7,132,53,156,60
